#1_usercol	2_usercol	3_usercol	4_usercol	5_usercol	6_pct_at	7_pct_gc	8_num_A	9_num_C	10_num_G	11_num_T	12_num_N	13_num_oth	14_seq_len
gi|556503834|ref|NC_000913.3|	337	2799	thrA	+	0.469131	0.530869	552	615	692	603	0	0	2462
gi|556503834|ref|NC_000913.3|	2801	3733	thrB	+	0.436695	0.563305	194	231	294	213	0	0	932
gi|556503834|ref|NC_000913.3|	3734	5020	thrC	+	0.471229	0.528771	304	316	364	302	0	0	1286
gi|556503834|ref|NC_000913.3|	5683	6459	yaaA	-	0.502577	0.497423	187	197	189	203	0	0	776
gi|556503834|ref|NC_000913.3|	6529	7959	yaaJ	-	0.466434	0.533566	409	394	369	258	0	0	1430
gi|556503834|ref|NC_000913.3|	8238	9191	talB	+	0.479538	0.520462	251	241	255	206	0	0	953
gi|556503834|ref|NC_000913.3|	9306	9893	mo	+	0.454855	0.545145	136	145	175	131	0	0	587
gi|556503834|ref|NC_000913.3|	9928	10494	satP	-	0.468198	0.531802	163	154	147	102	0	0	566
gi|556503834|ref|NC_000913.3|	11382	11786	yaaI	-	0.509901	0.490099	92	90	108	114	0	0	404
gi|556503834|ref|NC_000913.3|	14168	15298	dnaJ	+	0.447788	0.552212	275	278	346	231	0	0	1130
gi|556503834|ref|NC_000913.3|	15445	16557	insL1	+	0.480216	0.519784	274	274	304	260	0	0	1112
gi|556503834|ref|NC_000913.3|	17489	18655	haA	+	0.486278	0.513722	213	263	336	354	0	0	1166
gi|556503834|ref|NC_000913.3|	19811	20314	insB1	-	0.453280	0.546720	107	149	126	121	0	0	503
gi|556503834|ref|NC_000913.3|	21407	22348	ribF	+	0.463337	0.536663	210	227	278	226	0	0	941
gi|556503834|ref|NC_000913.3|	22391	25207	ileS	+	0.442116	0.557884	654	747	824	591	0	0	2816
gi|556503834|ref|NC_000913.3|	25207	25701	lspA	+	0.463563	0.536437	91	124	141	138	0	0	494
gi|556503834|ref|NC_000913.3|	25826	26275	fkpB	+	0.454343	0.545657	99	120	125	105	0	0	449
gi|556503834|ref|NC_000913.3|	26277	27227	ispH	+	0.448421	0.551579	219	228	296	207	0	0	950
gi|556503834|ref|NC_000913.3|	27293	28207	rihC	+	0.436543	0.563457	180	259	256	219	0	0	914
gi|556503834|ref|NC_000913.3|	28374	29195	dapB	+	0.465286	0.534714	186	185	254	196	0	0	821
gi|556503834|ref|NC_000913.3|	29651	30799	carA	+	0.466028	0.533972	283	314	299	252	0	0	1148
gi|556503834|ref|NC_000913.3|	30817	34038	carB	+	0.437131	0.562869	753	856	957	655	0	0	3221
gi|556503834|ref|NC_000913.3|	34781	35371	caiE	-	0.449153	0.550847	140	190	135	125	0	0	590
gi|556503834|ref|NC_000913.3|	35377	36162	caiD	-	0.458599	0.541401	177	234	191	183	0	0	785
gi|556503834|ref|NC_000913.3|	36271	37824	caiC	-	0.489375	0.510625	378	419	374	382	0	0	1553
gi|556503834|ref|NC_000913.3|	37898	39115	caiB	-	0.473295	0.526705	264	314	327	312	0	0	1217
gi|556503834|ref|NC_000913.3|	39244	40386	caiA	-	0.460595	0.539405	254	339	277	272	0	0	1142
gi|556503834|ref|NC_000913.3|	40417	41931	caiT	-	0.481506	0.518494	424	400	385	305	0	0	1514
gi|556503834|ref|NC_000913.3|	42403	43173	fixA	+	0.474026	0.525974	200	196	209	165	0	0	770
gi|556503834|ref|NC_000913.3|	43188	44129	fixB	+	0.432519	0.567481	222	259	275	185	0	0	941
gi|556503834|ref|NC_000913.3|	44180	45466	fixC	+	0.450233	0.549767	291	319	388	288	0	0	1286
gi|556503834|ref|NC_000913.3|	45807	47138	yaaU	+	0.466567	0.533433	239	318	392	382	0	0	1331
gi|556503834|ref|NC_000913.3|	47246	47776	kefF	+	0.452830	0.547170	113	143	147	127	0	0	530
gi|556503834|ref|NC_000913.3|	47769	49631	kefC	+	0.444683	0.555317	366	441	593	462	0	0	1862
gi|556503834|ref|NC_000913.3|	49823	50302	folA	+	0.471816	0.528184	119	116	137	107	0	0	479
gi|556503834|ref|NC_000913.3|	50380	51222	apaH	-	0.441805	0.558195	188	252	218	184	0	0	842
gi|556503834|ref|NC_000913.3|	51609	52430	rsmA	-	0.468940	0.531060	189	216	220	196	0	0	821
gi|556503834|ref|NC_000913.3|	52427	53416	pdxA	-	0.435794	0.564206	227	281	277	204	0	0	989
gi|556503834|ref|NC_000913.3|	53416	54702	surA	-	0.461120	0.538880	257	349	344	336	0	0	1286
gi|556503834|ref|NC_000913.3|	54755	57109	lptD	-	0.485981	0.514019	541	595	615	603	0	0	2354
gi|556503834|ref|NC_000913.3|	57364	58179	djlA	+	0.472393	0.527607	191	179	251	194	0	0	815
gi|556503834|ref|NC_000913.3|	59687	60346	rluA	-	0.459788	0.540212	143	202	154	160	0	0	659
gi|556503834|ref|NC_000913.3|	60358	63264	rapA	-	0.450791	0.549209	634	819	777	676	0	0	2906
